,0,1,2,3
0,sa,max_width,-0.31973259061479903,0.012561830566760019
1,sc,max_width,-0.2543571000198178,0.038893750936928956
2,ra,max_width,-0.33825601640846603,0.00872210726734136
3,mf,max_width,-0.28880554354176347,0.022080447951306134
4,syba,max_width,-0.0556094330733302,0.35215424613933977
5,sa,node_count,-0.452409500389568,0.0005499180312438423
6,sc,node_count,-0.24623077127326662,0.04405163760412127
7,ra,node_count,-0.42973172239319424,0.0010297161269824061
8,mf,node_count,-0.33526365479416387,0.009264726049934129
9,syba,node_count,-0.13925600929795237,0.16996893115263073
10,sa,not_solved_count,-0.3940808808694879,0.002541591329698296
11,sc,not_solved_count,-0.2598800888603265,0.03566873603361104
12,ra,not_solved_count,-0.3796342429581753,0.0035686011707879773
13,mf,not_solved_count,-0.3278479424558409,0.01073389155489473
14,syba,not_solved_count,-0.14187292676703242,0.16542497561157832
