,0,1,2,3
0,sa,max_width,-0.31973259061479903,0.012561830566760019
1,sc,max_width,-0.2543571000198178,0.038893750936928956
2,ra,max_width,-0.33825601640846603,0.00872210726734136
3,syba,max_width,-0.0556094330733302,0.35215424613933977
4,sa,node_count,-0.452409500389568,0.0005499180312438423
5,sc,node_count,-0.24623077127326662,0.04405163760412127
6,ra,node_count,-0.42973172239319424,0.0010297161269824061
7,syba,node_count,-0.13925600929795237,0.16996893115263073
8,sa,not_solved_count,-0.3940808808694879,0.002541591329698296
9,sc,not_solved_count,-0.2598800888603265,0.03566873603361104
10,ra,not_solved_count,-0.3796342429581753,0.0035686011707879773
11,syba,not_solved_count,-0.14187292676703242,0.16542497561157832
